Abilene Christian,Wildcats,Abilene Christian University,Abilene,Southland,Texas,1919
Alabama A&M,Bulldogs,Alabama A&M University,Normal,SWAC,Alabama,1912
Alabama State,Hornets,Alabama State University,Montgomery,SWAC,Alabama,1901
Albany,Great Danes,"University at Albany, SUNY",Albany,CAA,New York,1973
Alcorn State,Braves,Alcorn State University,Lorman,SWAC,Mississippi,1921
Arkansas-Pine Bluff,Golden Lions,University of Arkansas at Pine Bluff,Pine Bluff,SWAC,Arkansas,1916
Austin Peay,Governors,Austin Peay State University,Clarksville,Ohio Valley,Tennessee,1930
Bethune-Cookman,Wildcats,Bethune–Cookman University,Daytona Beach,MEAC,Florida,1925
Brown,Bears,Brown University,Providence,Ivy,Rhode Island,1878
Bryant,Bulldogs,Bryant University,Smithfield,Northeast,Rhode Island,1999
Bucknell,Bison,Bucknell University,Lewisburg,Patriot,Pennsylvania,1883
Butler,Bulldogs,Butler University,Indianapolis,Pioneer,Indiana,1887
Cal Poly,Mustangs,California Polytechnic State University,San Luis Obispo,Big Sky,California,1915
Campbell,Fighting Camels,Campbell University,Buies Creek,Big South,North Carolina,1925
Central Arkansas,Bears,University of Central Arkansas,Conway,Southland,Arkansas,1908
Central Connecticut,Blue Devils,Central Connecticut State University,New Britain,Northeast,Connecticut,1935
Charleston Southern,Buccaneers,Charleston Southern University,North Charleston,Big South,South Carolina,1985
Chattanooga,Mocs,University of Tennessee at Chattanooga,Chattanooga,Southern,Tennessee,1899
The Citadel,Bulldogs,"The Citadel, The Military College of South Carolina",Charleston,Southern,South Carolina,1905
Colgate,Raiders,Colgate University,Hamilton,Patriot,New York,1890
Columbia,Lions,Columbia University,New York,Ivy,New York,1870
Cornell,Big Red,Cornell University,Ithaca,Ivy,New York,1887
Dartmouth,Big Green,Dartmouth College,Hanover,Ivy,New Hampshire,1881
Davidson,Wildcats,Davidson College,Davidson,Pioneer,North Carolina,1896
Dayton,Flyers,University of Dayton,Dayton,Pioneer,Ohio,1903
Delaware,Fightin' Blue Hens,University of Delaware,Newark,CAA,Delaware,1888
Delaware State,Hornets,Delaware State University,Dover,MEAC,Delaware,1924
Drake,Bulldogs,Drake University,Des Moines,Pioneer,Iowa,1893
Duquesne,Dukes,Duquesne University,Pittsburgh,Northeast,Pennsylvania,1891
