School, City and State, Region, Conference, Division,,,,,
Abilene Christian," ""Abilene"," TEXAS""", Mid South, Southland Conference  , NCAA I-AA  ,X,,,
Air Force," ""USAFA"," COLORADO""", South West, Mountain West Conference  , NCAA I-A  ,0,Air Force,#0000FF,#C0C0C0
Akron," ""Akron"," OHIO""", Great Lakes, Mid-American Conference  , NCAA I-A  ,0,Akron,#00285C,#CAB388
Alabama," ""Tuscaloosa"," ALABAMA""", South East, Southeastern Conference  , NCAA I-A  ,0,Alabama,#990000,#ffffff
Alabama - Birmingham," ""Birmingham"," ALABAMA""", South East, Conference USA  , NCAA I-A  ,#REF!,UAB,#008000,#FFFFFF
Alabama A&M," ""Normal"," ALABAMA""", South East, Southwestern Athletic Conference  , NCAA I-AA  ,0,Alabama A&M,,
Alabama State," ""Montgomery"," ALABAMA""", South East, Southwestern Athletic Conference  , NCAA I-AA  ,0,Alabama State,#000000,#000000
Albany," ""Albany"," NEW YORK""", North East, Colonial Athletic Association  , NCAA I-AA  ,0,Albany,#452663,#FFC726
Alcorn State," ""Alcorn State"," MISSISSIPPI""", Mid South, Southwestern Athletic Conference  , NCAA I-AA  ,0,Alcorn State,#4b0082,#daa520
Appalachian State," ""Boone"," NORTH CAROLINA""", Mid East, Sun Belt Conference  , NCAA I-A  ,0,Appalachian State,#b5013b,#3600a0
Arizona," ""Tucson"," ARIZONA""", South West, Pacific-12 Conference  , NCAA I-A  ,0,Arizona,#C41E3A,#000060
Arizona State," ""Tempe"," ARIZONA""", South West, Pacific-12 Conference  , NCAA I-A  ,0,Arizona State,#800000,#FFD700
Arkansas," ""Fayetteville"," ARKANSAS""", Mid South, Southeastern Conference  , NCAA I-A  ,0,Arkansas,#C41E3A,#FFFFFF
Arkansas at Pine Bluff," ""Pine Bluff"," ARKANSAS""", Mid South, Southwestern Athletic Conference  , NCAA I-AA  ,X,Arkansas State,#FF2400,#000000
Arkansas State," ""Jonesboro"," ARKANSAS""", Mid South, Sun Belt Conference  , NCAA I-A  ,#REF!,Arkansas-Pine Bluff,#800000,#c4c8cb
Army," ""West Point"," NEW YORK""", North East, Division I-A Independents  , NCAA I-A  ,X,Army,#000000,#FFD700
Auburn," ""Auburn"," ALABAMA""", South East, Southeastern Conference  , NCAA I-A  ,X,Auburn,#dd550c,#03244d
Austin Peay State," ""Clarksville"," TENNESSEE""", Mid East, Ohio Valley Conference  , NCAA I-AA  ,X,Austin Peay,#D2DDFC,#D2DDFC
Ball State," ""Muncie"," INDIANA""", Great Lakes, Mid-American Conference  , NCAA I-A  ,X,Ball State,#CC0000,#FFFFFF
Baylor," ""Waco"," TEXAS""", Mid South, Big 12 Conference  , NCAA I-A  ,X,Baylor,#006600,#FFCC66
